frequency;V(OUTBP) (gain);
194,536;-61,2219;
194,984;-61,2019;
195,434;-61,1819;
195,884;-61,1619;
196,336;-61,1419;
196,789;-61,1219;
197,242;-61,1019;
197,697;-61,0819;
198,153;-61,0619;
198,609;-61,0419;
199,067;-61,0219;
199,526;-61,0019;
199,986;-60,9819;
200,447;-60,9619;
200,909;-60,9419;
201,372;-60,9219;
201,837;-60,9019;
202,302;-60,8819;
202,768;-60,8619;
203,236;-60,8419;
203,704;-60,8219;
204,174;-60,8019;
204,644;-60,7819;
205,116;-60,7619;
205,589;-60,7419;
206,063;-60,7219;
206,538;-60,7019;
207,014;-60,6819;
207,491;-60,6619;
207,97;-60,6419;
208,449;-60,6219;
208,93;-60,6019;
209,411;-60,5819;
209,894;-60,5619;
210,378;-60,5419;
210,863;-60,5219;
211,349;-60,5019;
211,836;-60,4819;
212,324;-60,4619;
212,814;-60,4419;
213,304;-60,4219;
213,796;-60,4019;
214,289;-60,3819;
214,783;-60,3619;
215,278;-60,3419;
215,774;-60,3219;
216,272;-60,3019;
216,77;-60,2819;
217,27;-60,2619;
217,771;-60,2419;
218,273;-60,2219;
218,776;-60,2019;
219,28;-60,1819;
219,786;-60,1619;
220,293;-60,1419;
220,8;-60,1219;
221,309;-60,1019;
221,82;-60,0819;
222,331;-60,0619;
222,844;-60,0419;
223,357;-60,0219;
223,872;-60,0019;
224,388;-59,9819;
224,905;-59,9619;
225,424;-59,9419;
225,944;-59,9219;
226,464;-59,9019;
226,986;-59,8819;
227,51;-59,8619;
228,034;-59,8419;
228,56;-59,8219;
229,087;-59,8019;
229,615;-59,7819;
230,144;-59,7619;
230,675;-59,7419;
231,206;-59,7219;
231,739;-59,7019;
232,274;-59,6819;
232,809;-59,6619;
233,346;-59,6419;
233,884;-59,6219;
234,423;-59,6019;
234,963;-59,5819;
235,505;-59,5619;
236,048;-59,5419;
236,592;-59,5219;
237,137;-59,5019;
237,684;-59,4819;
238,232;-59,4619;
238,781;-59,4419;
239,332;-59,4219;
239,883;-59,4019;
240,436;-59,3819;
240,991;-59,3619;
241,546;-59,3419;
242,103;-59,3219;
242,661;-59,3019;
243,22;-59,2819;
243,781;-59,2619;
244,343;-59,2419;
244,906;-59,2219;
245,471;-59,2019;
246,037;-59,1819;
246,604;-59,1619;
247,172;-59,1419;
247,742;-59,1219;
248,313;-59,1019;
248,886;-59,0819;
249,459;-59,0619;
250,035;-59,0419;
250,611;-59,0219;
251,189;-59,0019;
251,768;-58,9819;
252,348;-58,9619;
252,93;-58,9419;
253,513;-58,9219;
254,097;-58,9019;
254,683;-58,8819;
255,27;-58,8619;
255,859;-58,8419;
256,448;-58,8219;
257,04;-58,8019;
257,632;-58,7819;
258,226;-58,7619;
258,821;-58,7419;
259,418;-58,7219;
260,016;-58,7019;
260,615;-58,6819;
261,216;-58,6619;
261,818;-58,6419;
262,422;-58,6219;
263,027;-58,6019;
263,633;-58,5819;
264,241;-58,5619;
264,85;-58,5419;
265,461;-58,5219;
266,073;-58,5019;
266,686;-58,4819;
267,301;-58,4619;
267,917;-58,4419;
268,534;-58,4219;
269,153;-58,4019;
269,774;-58,3819;
270,396;-58,3619;
271,019;-58,3419;
271,644;-58,3219;
272,27;-58,3019;
272,898;-58,2819;
273,527;-58,2619;
274,157;-58,2419;
274,789;-58,2219;
275,423;-58,2019;
276,058;-58,1819;
276,694;-58,1619;
277,332;-58,1419;
277,971;-58,1219;
278,612;-58,1019;
279,254;-58,0819;
279,898;-58,0619;
280,543;-58,0419;
281,19;-58,0219;
281,838;-58,0019;
282,488;-57,9819;
283,139;-57,9619;
283,792;-57,9419;
284,446;-57,9219;
285,102;-57,9019;
285,759;-57,8819;
286,418;-57,8619;
287,078;-57,8419;
287,74;-57,8219;
288,403;-57,8019;
289,068;-57,7819;
289,734;-57,7619;
290,402;-57,7419;
291,072;-57,7219;
291,743;-57,7019;
292,415;-57,6819;
293,089;-57,6619;
293,765;-57,6419;
294,442;-57,6219;
295,121;-57,6019;
295,801;-57,5819;
296,483;-57,5619;
297,167;-57,5419;
297,852;-57,5219;
298,538;-57,5019;
299,226;-57,4819;
299,916;-57,4619;
300,608;-57,4419;
301,301;-57,4219;
301,995;-57,4019;
302,691;-57,3819;
303,389;-57,3619;
304,089;-57,3419;
304,789;-57,3219;
305,492;-57,3019;
306,196;-57,2819;
306,902;-57,2619;
307,61;-57,2419;
308,319;-57,2219;
309,03;-57,2019;
309,742;-57,1819;
310,456;-57,1619;
311,172;-57,1419;
311,889;-57,1219;
312,608;-57,1019;
313,329;-57,0819;
314,051;-57,0619;
314,775;-57,0419;
315,5;-57,0219;
316,228;-57,0019;
316,957;-56,9819;
317,687;-56,9619;
318,42;-56,9419;
319,154;-56,9219;
319,89;-56,9019;
320,627;-56,8819;
321,366;-56,8619;
322,107;-56,8419;
322,849;-56,8219;
323,594;-56,8019;
324,34;-56,7819;
325,087;-56,7619;
325,837;-56,7419;
326,588;-56,7219;
327,341;-56,7018;
328,095;-56,6818;
328,852;-56,6618;
329,61;-56,6418;
330,37;-56,6218;
331,131;-56,6018;
331,894;-56,5818;
332,66;-56,5618;
333,426;-56,5418;
334,195;-56,5218;
334,965;-56,5018;
335,738;-56,4818;
336,512;-56,4618;
337,287;-56,4418;
338,065;-56,4218;
338,844;-56,4018;
339,625;-56,3818;
340,408;-56,3618;
341,193;-56,3418;
341,979;-56,3218;
342,768;-56,3018;
343,558;-56,2818;
344,35;-56,2618;
345,144;-56,2418;
345,939;-56,2218;
346,737;-56,2018;
347,536;-56,1818;
348,337;-56,1618;
349,14;-56,1418;
349,945;-56,1218;
350,752;-56,1018;
351,56;-56,0818;
352,371;-56,0618;
353,183;-56,0418;
353,997;-56,0218;
354,813;-56,0018;
355,631;-55,9818;
356,451;-55,9618;
357,273;-55,9418;
358,096;-55,9218;
358,922;-55,9018;
359,749;-55,8818;
360,579;-55,8618;
361,41;-55,8418;
